STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
17,1714820,Skokie-Fairview School District 72,345,1279,1714820,IL
17,1715090,Field Community Consolidated School District 3,165,1281,1715090,IL
17,1715420,Flossmoor School District 161,1385,1282,1715420,IL
17,1715450,Forest Park School District 91,450,1283,1715450,IL
17,1715480,Forest Ridge School District 142,845,1284,1715480,IL
17,1715630,Fox Lake Grade School District 114,310,1285,1715630,IL
17,1715700,Frankfort Community Consolidated School District 157C,1450,1287,1715700,IL
17,1715780,Franklin Park School District 84,610,1288,1715780,IL
17,1715820,Freeburg Community Consolidated School District 70,485,1289,1715820,IL
17,1715930,Fremont School District 79,1435,1290,1715930,IL
17,1716230,Gardner Community Consolidated School District 72C,95,1291,1716230,IL
17,1716290,Gavin School District 37,465,1292,1716290,IL
17,1716320,Geff Community Consolidated School District 14,55,1293,1716320,IL
17,1716530,Germantown School District 60,155,1294,1716530,IL
17,1716560,Germantown Hills School District 69,560,1295,1716560,IL
17,1716590,Giant City Community Consolidated School District 130,140,1296,1716590,IL
17,1716650,Gifford Community Consolidated School District 188,140,1297,1716650,IL
17,1716800,Glen Ellyn School District 41,2370,1298,1716800,IL
17,1716860,Glencoe School District 35,760,1299,1716860,IL
